"Year","Month","Day","Hour","Length","Width","Centroid_lon","Centroid_lat","Equatorwd_end_lon","Equatorwd_end_lat","Polewd_end_lon","Polewd_end_lat","Mean_IVT_zonal","Mean_IVT_merid","Mean_IVT_Dir","IVT_dir_Coh","Width2","Total_IVT","lfloc_lon","lfloc_lat","IVT_landfall.zonal","IVT_landfall.merid","IVT_landfall.dir","nlfloc_lon","Date"
1980,1,4,6,2840.5,690.4,228.856,31.99,221.875,20,235,42.5,164,313.3,27.627,0.867,682.6,272.9,235.625,42,148.8,326,24.539,-124.375,1980-01-04
1980,1,4,18,4411.3,593.8,232.754,32.942,224.375,18.5,259.375,38,149.5,258.3,30.059,0.878,920.6,469.5,235.625,42.5,248.9,366,34.219,-124.375,1980-01-04
1980,1,5,0,5094.4,601.6,234.414,31.739,224.375,18,260,37,155.7,218.7,35.445,0.888,449,219.2,235.625,42,365.9,441.2,39.667,-124.375,1980-01-05
1980,1,5,6,4563.5,682.5,235.131,31.145,225.625,18,261.25,37.5,146.7,226.3,32.947,0.912,626.4,272.1,235.625,44,305.2,349.2,41.16,-124.375,1980-01-05
1980,1,5,12,4118.3,854,236.589,31.045,226.25,17.5,259.375,42.5,149.8,198.7,37.024,0.911,656.5,210.6,236.25,39,107.9,274.7,21.442,-123.75,1980-01-05
1980,1,5,18,4449.1,876.1,237.22,31.268,226.25,17.5,256.875,45.5,143.4,195.1,36.319,0.876,817.2,254.5,235.625,40.5,195.5,306.4,32.541,-124.375,1980-01-05
1980,1,7,6,3064.8,709.3,229.907,26.156,215.625,24.5,244.375,27.5,215.2,88.3,67.693,0.995,965.7,217.1,243.75,31,163.3,5,88.262,-116.25,1980-01-07
1980,1,7,18,4506.7,749,226.684,24.176,209.375,14,251.875,31,228.2,98.7,66.619,0.996,1018,271.1,243.125,32.5,189,102,61.641,-116.875,1980-01-07
1980,1,10,12,10342.5,1546.4,217.421,26.021,181.875,13.5,275.625,46,406,172.1,67.028,0.972,1396.7,912.2,238.125,37,481.2,12.4,88.526,-121.875,1980-01-10
1980,1,11,12,9152,1447.1,216.822,27.999,176.25,25.5,261.875,30.5,529.5,214.9,67.904,0.972,1993.2,1806.3,241.25,34,498.8,254.1,63.007,-118.75,1980-01-11
1980,1,11,18,8639.4,1584.2,219.069,29.416,180.625,22.5,259.375,29,487.6,202.1,67.49,0.962,2063.4,1668.8,235.625,42.5,237.8,482.1,26.254,-124.375,1980-01-11
1980,1,12,12,10611.3,1529.3,222.679,31.037,253.75,20,161.25,22.5,386.8,117,73.174,0.887,1803.5,1106.1,235.625,43.5,697.6,671.2,46.105,-124.375,1980-01-12
1980,1,12,18,9970.6,1620.5,225.065,30.981,166.25,21,265,41,329.9,77.4,76.792,0.845,2165.9,1070.5,238.75,36,869.3,89.6,84.114,-121.25,1980-01-12
1980,1,13,0,9990.7,1618.2,226.592,30.916,170.625,21.5,270.625,44,303.7,56.3,79.5,0.829,1758.8,1060.9,241.25,34,606.7,-97.4,99.123,-118.75,1980-01-13
1980,1,13,6,9601,1601.4,228.687,31.103,173.75,21.5,275,45,265,55.2,78.239,0.817,2383.6,833.5,236.25,39,619.2,289.3,64.952,-123.75,1980-01-13
1980,1,13,12,10292.9,1396.4,229.454,31.432,176.25,21.5,282.5,46,269.2,51.3,79.204,0.822,2032.6,927.6,237.5,37.5,616.7,323.5,62.319,-122.5,1980-01-13
1980,1,14,0,7865.3,1358.8,223.805,30.354,183.125,20,258.125,38.5,303.8,71.7,76.72,0.896,1435,654.1,237.5,37.5,599.2,412.6,55.45,-122.5,1980-01-14
1980,1,14,6,8193.7,1233.7,225.37,30.281,185.625,21,261.875,46,285.3,60.1,78.103,0.894,1126.3,447.9,241.25,34,756.4,295.1,68.686,-118.75,1980-01-14
1980,1,14,12,7888,1230.5,224.139,29.376,190,21.5,263.75,44,272.5,55.5,78.484,0.891,852.9,366.4,243.75,31.5,438.3,35.4,85.377,-116.25,1980-01-14
1980,1,14,18,8108.3,1218.6,227.405,29.861,193.75,22.5,266.25,44.5,235.7,70.6,73.338,0.845,2719.9,220,235.625,42,271.2,365.5,36.573,-124.375,1980-01-14
1980,1,20,12,4499.6,504.5,224.981,35.291,228.125,17,239.375,51,22.3,323.9,3.934,0.804,226.3,110.9,234.375,49,254.9,143.6,60.607,-125.625,1980-01-20
1980,1,21,0,4438.7,485.5,225.182,36.226,227.5,15,242.5,48.5,19.9,273.9,4.16,0.708,223.5,129.6,235.625,47,332.5,-108.7,108.097,-124.375,1980-01-21
1980,1,28,12,5263.5,685.5,229.106,25.01,211.875,22.5,253.125,39.5,299.5,90.3,73.225,0.948,1227.6,547.6,243.125,32.5,155.4,99.9,57.269,-116.875,1980-01-28
1980,1,28,18,3929.4,1032.4,230.617,25.345,213.125,22,250,34.5,257.9,94.8,69.822,0.873,1530.2,617.4,242.5,33,239.7,171.8,54.373,-117.5,1980-01-28
1980,1,29,0,4367.1,1205.7,232.295,25.296,214.375,20.5,255,35.5,249.9,85.4,71.124,0.852,1353.7,593.7,242.5,33,145.2,242.3,30.931,-117.5,1980-01-29
1980,1,29,6,4804.3,1272.7,234.919,25.533,218.125,19.5,258.125,37,221.4,100.8,65.529,0.845,1657.3,580.5,241.875,33.5,197.4,528.7,20.475,-118.125,1980-01-29
1980,1,29,12,4468.7,1406.9,236.858,25.238,224.375,14.5,259.375,38,235.2,122.9,62.403,0.86,1814.7,631.7,243.125,32,413,542.1,37.302,-116.875,1980-01-29
1980,1,29,18,4980.5,1193.4,239.396,25.458,225.625,15,261.875,38,233,148.3,57.521,0.892,1698.9,585.2,243.75,31.5,413.2,372,48.002,-116.25,1980-01-29
1980,1,30,0,5100.2,1164.4,240.665,25.055,228.125,13.5,266.25,38,242,143.4,59.35,0.898,1538.3,529.2,243.75,31.5,280.1,377.3,36.588,-116.25,1980-01-30
1980,1,30,6,5235,1112.1,243.971,25.884,222.5,23.5,271.25,36,238.9,149.9,57.893,0.913,1532.4,498,243.75,31.5,267.9,544.9,26.185,-116.25,1980-01-30
1980,1,30,12,5771.7,1010,247.494,25.984,230.625,14,278.125,35.5,242.5,156.3,57.195,0.911,1544.4,394.7,244.375,30.5,293.6,254.1,49.125,-115.625,1980-01-30
1980,2,1,0,5845.6,829.5,216.753,36.803,200,18.5,224.375,62,249,248.3,45.078,0.868,762,311,235.625,44,329.9,375.7,41.29,-124.375,1980-02-01
1980,2,1,6,5006.2,748.1,216.881,32.899,201.875,19,241.875,47,339.1,292.3,49.239,0.992,1045.7,602,235.625,43.5,296.4,443.1,33.784,-124.375,1980-02-01
1980,2,1,12,5634.6,777.5,219.1,34.219,201.25,24,250.625,48,353.1,289.8,50.626,0.991,1123.2,670.3,236.25,45,399.4,413.4,44.014,-123.75,1980-02-01
1980,2,2,0,6293,627.5,224.524,37.474,207.5,23,256.875,45,293,324.3,42.101,0.93,1205.9,811.1,235.625,42,209,440.6,25.372,-124.375,1980-02-02
1980,2,2,6,6030.9,695.5,224.925,40.817,200.625,17.5,240,61,199.9,335.5,30.79,0.885,1183.5,686.7,235.625,42.5,291,350.1,39.726,-124.375,1980-02-02
1980,2,2,12,5993.8,682.9,226.156,41.461,201.25,17,223.75,62.5,177.7,308.8,29.926,0.822,589.3,352.9,235.625,48,220.1,589.3,20.481,-124.375,1980-02-02
1980,2,2,18,5458.8,695.6,227.239,42.025,204.375,18.5,236.875,56,149.7,272.5,28.79,0.826,468.1,238.3,235.625,43,486.7,766.5,32.411,-124.375,1980-02-02
1980,2,3,0,5686.5,689.9,228.595,41.519,203.75,19,253.125,45,137.2,178.6,37.532,0.786,311.1,131.5,236.25,41.5,437,407.4,47.012,-123.75,1980-02-03
1980,2,3,6,6279,434.9,231.647,38.514,204.375,19,236.25,65,169.2,144.6,49.49,0.926,276.5,128.8,235.625,40.5,348.2,469.2,36.581,-124.375,1980-02-03
1980,2,5,12,5797.1,592.2,225.866,46.907,221.25,26,214.375,69.5,99.9,253.9,21.472,0.873,917.3,413.8,235.625,44,232.3,399.7,30.169,-124.375,1980-02-05
1980,2,5,18,5843.3,440.4,227.081,51.086,226.25,29.5,221.25,71.5,44.8,211.6,11.957,0.863,686.6,216.6,235.625,42,276.9,381.7,35.96,-124.375,1980-02-05
1980,2,6,0,4491.6,369.8,233.023,45.911,228.75,30,224.375,62.5,124.6,154.8,38.841,0.686,637.7,178.2,236.25,45,254.4,322.2,38.286,-123.75,1980-02-06
1980,2,13,12,6316.1,959.7,243.582,24.7,225,24,281.25,29.5,183.6,139.4,52.794,0.779,2778.2,719.7,243.75,31,10.2,400,1.465,-116.25,1980-02-13
1980,2,16,18,6051.8,1445.9,225.21,26.312,201.25,18,251.25,27.5,406.4,267.2,56.676,0.925,1347,806.4,238.75,35.5,146,1088.2,7.642,-121.25,1980-02-16
1980,2,17,0,7280.8,1426.3,227.536,26.42,260.625,18.5,200.625,30,393.3,179.4,65.479,0.892,1473.6,930,241.25,34,313.5,587,28.107,-118.75,1980-02-17
1980,2,17,18,5893.4,1867.8,232.871,27.699,263.75,16.5,209.375,29.5,298.9,86.2,73.918,0.771,3176.9,1434.3,235.625,42,128.6,525.4,13.75,-124.375,1980-02-17
1980,2,18,0,11633,1031.3,228.301,28.778,263.75,16,162.5,24,333.7,66.9,78.666,0.794,2034.3,1124,237.5,37.5,404.9,927.2,23.589,-122.5,1980-02-18
1980,2,24,6,8402.2,1107.8,201.651,28.942,161.875,20.5,236.25,31,353.6,114.5,72.063,0.852,1173.1,574.9,235.625,42,74.1,512.2,8.236,-124.375,1980-02-24
1980,2,25,6,5455.3,1029.3,214.952,30.533,191.25,18,236.25,47,399.1,258.5,57.066,0.85,1250.2,802.2,235.625,47,-16.6,301.4,356.853,-124.375,1980-02-25
1980,2,25,12,4936.7,1064.3,218.697,32.256,195,19,236.25,49,372,330.7,48.362,0.891,1263.6,961,235.625,44,200.5,431.3,24.935,-124.375,1980-02-25
1980,2,25,18,5294.3,808.1,221.24,31.7,196.25,19.5,238.125,46.5,429.7,396.1,47.328,0.993,1181.1,993.2,235.625,42,217.8,591.6,20.21,-124.375,1980-02-25
1980,2,26,0,5357.8,1032.7,223.147,34.47,201.25,19,226.875,57.5,316.5,356.9,41.566,0.858,1167.3,868.6,235.625,43.5,330.6,564.6,30.352,-124.375,1980-02-26
1980,2,26,6,4779.6,1183.2,225.315,35.787,203.125,19,238.125,53,264.4,335.2,38.262,0.847,1002.3,629.6,235.625,43,311.7,778.6,21.819,-124.375,1980-02-26
1980,2,26,12,5373.5,922.6,227.719,36.166,211.875,20,233.125,57.5,284,345.7,39.408,0.873,839.8,514.1,235.625,44,395.7,813.4,25.939,-124.375,1980-02-26
1980,2,26,18,5495.1,871.3,229.947,36.959,211.875,22,251.875,45,229.7,323.6,35.376,0.853,796.6,470.2,235.625,44,391.8,931.8,22.806,-124.375,1980-02-26
1980,2,27,0,5324.3,847.5,232.776,38.336,215.625,21,260,44.5,208.9,271.6,37.575,0.833,748.4,518.4,235.625,44,355.7,772,24.737,-124.375,1980-02-27
1980,2,27,6,5883.4,764.4,236.492,40.241,220.625,21.5,262.5,42.5,182.6,220.7,39.597,0.811,997.8,501.3,235.625,42,126.5,837.4,8.592,-124.375,1980-02-27
1980,2,27,12,5247.8,883.9,239.829,40.78,224.375,22.5,260,50.5,183.7,128.9,54.95,0.62,1324.7,319.3,236.25,39,49,680,4.12,-123.75,1980-02-27
1980,3,2,0,3826.3,493.5,230.934,30.313,247.5,28.5,216.25,30,213.8,64.8,73.15,0.894,869.1,218.9,241.875,33.5,125.2,172.1,36.038,-118.125,1980-03-02
1980,3,2,6,2850,770.1,234.549,30.193,220.625,27.5,246.875,38,183.8,85.4,65.082,0.878,909.7,224.2,243.125,32.5,152,144.9,46.382,-116.875,1980-03-02
1980,3,2,12,2592.5,956.9,237.575,30.708,225,25.5,248.125,41,171.1,97,60.458,0.874,962,251.8,236.25,39,-48.6,274.2,349.948,-123.75,1980-03-02
1980,3,2,18,3135.1,826.1,239.849,31.625,227.5,25.5,251.875,40.5,157.1,119.7,52.696,0.9,1264.3,368.2,238.75,35.5,-13.1,412.1,358.177,-121.25,1980-03-02
1980,3,3,0,3095.5,1002.7,241.604,31.376,228.75,25.5,255.625,42.5,170,92.9,61.359,0.877,1078.2,270.8,241.25,34,183,549.7,18.414,-118.75,1980-03-03
1980,3,3,6,3267.1,1041.4,245.555,32.462,233.75,23,260,43,172.8,75.2,66.467,0.946,1509.3,266.2,242.5,33,328.8,327,45.164,-117.5,1980-03-03
1980,3,13,18,3818.7,224.2,231.556,39.733,217.5,36.5,253.125,47,266.4,72.8,74.719,1,228.7,77.4,235.625,40.5,279.3,122.3,66.35,-124.375,1980-03-13
1980,3,14,0,2601.2,327.1,232.168,39.921,221.875,36,247.5,43,309.4,115.2,69.576,1,350.2,159.7,235.625,42,295.9,295,45.09,-124.375,1980-03-14
1980,3,14,6,2396.7,317.2,235.31,40.233,225.625,35,248.75,44,267.7,145.2,61.529,1,320.3,129.9,235.625,42,417,360.2,49.182,-124.375,1980-03-14
1980,3,17,12,2064.3,158.7,235.443,47.839,231.875,39.5,238.125,56.5,121.3,178.7,34.173,1,150.8,42.9,235.625,48,134.8,302.4,24.023,-124.375,1980-03-17
1980,4,4,0,2119.6,126.7,232.144,35.567,225.625,30,235,44.5,203.9,146.5,54.299,0.958,79.7,22.9,235.625,42,87.2,252.3,19.072,-124.375,1980-04-04
1980,4,4,12,2377.6,450.5,226.268,34.673,215,30.5,237.5,37.5,302.2,55.6,79.582,0.904,513.5,185,236.875,38,70,222.6,17.451,-123.125,1980-04-04
1980,4,5,6,2099.8,576.1,235.952,36.721,226.25,30.5,244.375,44.5,198.3,106.7,61.724,0.839,946.4,302.8,235.625,42,-17.4,492.6,357.973,-124.375,1980-04-05
1980,4,8,12,3466.7,655.9,219.315,39.183,203.75,35,238.75,43.5,294.9,211.9,54.303,0.868,877.2,472.1,235.625,42.5,231.6,214.9,47.153,-124.375,1980-04-08
1980,4,8,18,3314.7,586,224.381,37.967,206.875,34.5,238.125,44.5,359.3,208.4,59.885,0.922,647.9,354.8,235.625,44,145.4,343.7,22.933,-124.375,1980-04-08
1980,4,9,0,2828.5,610.2,228.721,39.276,215.625,31.5,238.75,47,302.6,206.6,55.668,0.898,446.9,243.1,235.625,44,234.8,474.4,26.331,-124.375,1980-04-09
1980,4,9,6,2882.1,549.7,233.703,41.936,219.375,32,243.125,47.5,175.1,179.6,44.274,0.779,577.9,211.3,235.625,43,337.9,432,38.031,-124.375,1980-04-09
1980,4,9,12,2721.2,449.7,237.435,41.83,226.25,32.5,238.125,53,160.6,114.3,54.548,0.858,1828,433.7,236.875,38,414.4,113.6,74.667,-123.125,1980-04-09
1980,4,14,6,2857.9,417.7,233.455,43.586,235.625,35,230.625,55,59.9,219.8,15.231,0.752,696.8,214.9,233.125,49.5,-141.1,272.5,332.622,-126.875,1980-04-14
1980,4,14,12,2288.9,463.9,233.672,48.133,233.125,39,230,57.5,7.5,222.9,1.922,0.894,656.2,140.9,233.125,49.5,-144.6,309,334.924,-126.875,1980-04-14
1980,4,17,12,4612.1,282.7,234.78,45.826,224.375,29,241.875,65,155.2,148.4,46.292,0.97,181.5,53.1,234.375,49,93.6,325.9,16.024,-125.625,1980-04-17
1980,4,17,18,4085.9,259.5,240.517,53.142,232.5,39.5,243.75,67,100.2,145.9,34.478,0.973,372,50.6,235,49,54.2,288.4,10.646,-125,1980-04-17
1980,4,19,0,4330.8,571.9,231.758,47.674,216.25,33,235.625,62,119.2,221.9,28.245,0.856,663.5,256.7,235.625,47,222.8,431.4,27.309,-124.375,1980-04-19
1980,4,19,6,4255.5,578,235.214,49.694,224.375,35,231.875,66,99.1,195.2,26.908,0.953,749.6,213.2,236.25,46,235.9,466.9,26.799,-123.75,1980-04-19
1980,4,19,12,4777.1,576.6,233.973,45.731,213.125,34,253.75,56.5,175.6,164.6,46.854,0.84,522.2,216.2,235.625,43,305.6,443.2,34.589,-124.375,1980-04-19
1980,4,19,18,4322.6,683.4,237.905,47.016,222.5,31.5,246.25,64,150.3,154.5,44.204,0.867,727.4,213.7,235.625,43,238.5,440.2,28.445,-124.375,1980-04-19
1980,4,20,0,4830.1,671.1,241.605,48.64,225,31,249.375,65,140.8,128,47.72,0.891,821.6,166.9,235.625,43,252.1,364.7,34.655,-124.375,1980-04-20
1980,4,20,6,5182.4,632.1,242.545,48.732,227.5,30,256.875,65.5,137,121.2,48.508,0.888,969.3,202.2,236.25,40,185.4,295.5,32.098,-123.75,1980-04-20
1980,4,20,12,5453.1,518.4,245.723,49.343,230,29,261.875,66.5,129.5,107.7,50.254,0.846,854.9,151.3,236.875,38,227.8,242.1,43.266,-123.125,1980-04-20
