Flood_date,Year,Month,Day,known_IVT,other_cause,Island,Lat,nLon,Lon,source,outcome,levee_type,permanent
1/16/80,1980,1,16,,,Liberty,38,239,-121,,failure,limited height,
1/18/80,1980,1,18,,,"Webb, Holland",38,239,-121,,failure,standard,
1/19/80,1980,1,19,,,,,,,News,,,
1/21/80,1980,1,21,129.6,,Dead Horse,38,239,-121,,uncertain,standard,
2/12/80,1980,2,12,,,Prospect,38,239,-121,,failure,limited height,maybe 1/21/80
9/26/80,1980,9,26,,,Lower Jones,38,239,-121,,failure,standard,
9/27/80,1980,9,27,,,,,,,,,,
10/23/80,1980,10,23,,,Upper Jones Tract,38,239,-121,,failure,standard,
10/30/80,1980,10,30,,,,,,,,,,
12/23/81,1981,12,23,,,Prospect,38,239,-121,,failure,limited height,
12/24/81,1981,12,24,,,Little Franks Tract,38,239,-121,"Hopf,News",failure,standard,
8/23/82,1982,8,23,,,McDonald,38,239,-121,,failure,standard,
11/30/82,1982,11,30,,,Venice,38,239,-121,,failure,standard,
12/1/82,1982,12,1,,,,,,,News,,,
1/16/83,1983,1,16,,,Van Sickle,38,239,-121,,failure,standard,
1/27/83,1983,1,27,513.3,,"Little Franks Tract, Spinner, Shima. Mildred",38,239,-121,,failure,standard,
1/29/83,1983,1,29,264.3,,"Fay, Tyler, Webb, Jersey, King, Wright-Elmwood",38,239,-121,Neudeck 1984,failure,standard,
1/30/83,1983,1,30,123.8,,Prospect,38,239,-121,,failure,limited height,
2/21/83,1983,2,21,595.4,,"Bouldin, Twitchell",38,239,-121,River News Herald 2/21/1983,uncertain,standard,
3/1/83,1983,3,1,647.8,,Prospect,38,239,-121,,failure,limited height,
3/6/83,1983,3,6,939.1,,River Junction,38,239,-121,,failure,standard,
7/30/83,1983,7,30,,other,Twitchell,38,239,-121,Hopf,repair,standard,
12/3/83,1983,12,3,,,Bradford,38,239,-121,,failure,standard,
12/9/83,1983,12,9,508.5,,Bouldin,38,239,-121,Hopf ,repair,standard,
8/21/84,1984,8,21,,,Tyler,38,239,-121,Hopf,repair,standard,
2/18/86,1986,2,18,825.8,,McCormack-Williamson. New Hope,38,239,-121,,failure,standard,
2/19/86,1986,2,19,546.3,,"Prospect, Dead Horse, Glanville, Tyler",38,239,-121,News,failure,limited height,
2/20/86,1986,2,20,218.1,,New Hope,38,239,-121,,failure,standard,
3/20/86,1986,3,20,,,Little Mandeville,38,239,-121,Hopf,failure,standard,
8/1/94,1994,8,1,,other,Little Mandeville,38,239,-121,Recordnet,failure,standard,permanently flooded
1/1/97,1997,1,1,1458.5,,"Ryer, Brannan-Andrus, Twitchell, RD 17",38,239,-121,Hopf,repair,standard,
1/5/97,1997,1,5,,,Prospect,38,239,-121,,failure,limited height,
1/7/97,1997,1,7,164.6,,Tyler,38,239,-121,Hopf,repair,standard,
1/10/97,1997,1,10,,,Brannan-Andrus,38,239,-121,Hopf,failure,standard,
1/31/97,1997,1,31,,,"McCormack-Williamson, Glanvill",38,239,-121,,failure,limited height,
1/1/98,1998,1,1,181.6,,Sherman,38,239,-121,Hopf,failure,standard,
2/1/98,1998,2,1,323.4,,"Van Sickle, Webb",38,239,-121,Hopf,failure,standard,
6/3/04,2004,6,3,,other,Upper Jones Tract,38,239,-121,,failure,standard,
1/1/06,2006,1,1,1029.6,,"Prospect, Twitchell, Sherman",38,239,-121,,failure,limited height,
1/15/06,2006,1,15,116.5,,Tyler,38,239,-121,Hopf,repair,standard,
1/24/09,2009,1,24,,,Medford,38,239,-121,Hopf,repair,standard,
8/27/09,2009,8,27,,,Bradford,38,239,-121,Hopf,repair,standard,
12/7/09,2009,12,7,404.5,,Bradford,38,239,-121,,failure,standard,
