Org_date,Year,Month,Day,Island,lat,lon,nlon,Source,outcome,levee_type,
6/21/72,1972,6,21,Brannan-Andrus,38,239,-121,,failure,standard,
1/17/73,1973,1,17,Liberty,38,239,-121,,failure,limited height,
1/16/80,1980,1,16,Liberty,38,239,-121,,failure,limited height,
1/18/80,1980,1,18,Webb,38,239,-121,,failure,standard,
1/18/80,1980,1,18,Holland,38,239,-121,,uncertain,standard,
1/21/80,1980,1,21,Dead Horse,38,239,-121,,uncertain,standard,
2/12/80,1980,2,12,Prospect,38,239,-121,,failure,limited height,maybe 1/21/80
1980,1980,,,Little Mandeville,38,239,-121,Hopf,uncertain,standard,
1980,1980,,,Van Sickle,38,239,-121,Hopf,uncertain,standard,
9/26/80,1980,9,26,Lower Jones,38,239,-121,,failure,standard,
10/23/80,1980,10,23,Upper Jones Tract,38,239,-121,,failure,standard,
12/23/81,1981,12,23,Prospect,38,239,-121,,failure,limited height,
12/24/81,1981,12,24,Little Franks Tract,38,239,-121,Hopf,failure,standard,
1981,1981,,,Tyler,38,239,-121,Hopf,repair,standard,
1982,1982,,,Medford,38,239,-121,DWR 1983,failure,standard,
1982,1982,,,Little Mandeville,38,239,-121,Hopf,uncertain,standard,
8/23/82,1982,8,23,McDonald,38,239,-121,,failure,standard,
11/30/82,1982,11,30,Venice,38,239,-121,,failure,standard,
1/16/83,1983,1,16,Van Sickle,38,239,-121,,failure,standard,
1/27/83,1983,1,27,Little Franks Tract,38,239,-121,,failure,standard,
1/27/83,1983,1,27,Spinner,38,239,-121,,failure,standard,
1/27/83,1983,1,27,Shima,38,239,-121,,failure,standard,
1/27/83,1983,1,27,Mildred,38,239,-121,,failure,standard,
1/29/83,1983,1,29,Fay,38,239,-121,,failure,standard,
1/29/83,1983,1,29,Tyler,38,239,-121,Neudeck 1984,uncertain,standard,
1/29/83,1983,1,29,Webb,38,239,-121,Neudeck 1984,uncertain,standard,
1/29/83,1983,1,29,Jersey,38,239,-121,Neudeck 1984,uncertain,standard,
1/29/83,1983,1,29,King,38,239,-121,Neudeck 1984,uncertain,standard,
1/29/83,1983,1,29, Wright-Elmwood,38,239,-121,Neudeck 1984,uncertain,standard,
1/30/83,1983,1,30,Prospect,38,239,-121,,failure,limited height,
2/21/83,1983,2,21,Bouldin,38,239,-121,River News Herald 2/21/1983,uncertain,standard,
2/21/83,1983,2,21,Twitchell,38,239,-121,River News Herald 2/21/1983,uncertain,standard,
3/1/83,1983,3,1,Prospect,38,239,-121,,failure,limited height,
3/6/83,1983,3,6,River Junction,38,239,-121,,failure,standard,
7/30/83,1983,7,30,Twitchell,38,239,-121,Hopf,repair,standard,
12/3/83,1983,12,3,Bradford,38,239,-121,,failure,standard,
12/9/83,1983,12,9,Bouldin,38,239,-121,Hopf ,repair,standard,
1984,1984,,,Little Franks Tract,38,239,-121,Hopf,uncertain,standard,
8/21/84,1984,8,21,Tyler,38,239,-121,Hopf,repair,standard,
2/18/86,1986,2,18,McCormack-Williamson,38,239,-121,,failure,standard,
2/18/86,1986,2,18,New Hope,38,239,-121,,failure,standard,
2/19/86,1986,2,19,Prospect,38,239,-121,,failure,limited height,
2/19/86,1986,2,19,Dead Horse,38,239,-121,,failure,standard,
2/19/86,1986,2,19,Glanville Tract,38,239,-121,,failure,standard,
2/19/86,1986,2,19,Tyler,38,239,-121,,failure,standard,
2/20/86,1986,2,20,New Hope,38,239,-121,,failure,standard,
3/20/86,1986,3,20,Little Mandeville,38,239,-121,Hopf,failure,standard,
8/1/94,1994,8,1,Little Mandeville,38,239,-121,Recordnet,failure,standard,permanently flooded
1995,1995,,,Liberty,38,239,-121,,failure,limited height,
1995,1995,,,Prospect,38,239,-121,,failure,limited height,
1997,1997,,,Webb Tract,38,239,-121,Hopf,failure,standard,
1/1/97,1997,1,1,Ryer,38,239,-121,Hopf,repair,standard,
1/1/97,1997,1,1,Brannan-Andrus,38,239,-121,Hopf,repair,standard,
1/1/97,1997,1,1,Twitchell,38,239,-121,Hopf,repair,standard,
1/1/97,1997,1,1,RD 17,38,239,-121,Hopf,repair,standard,
1/5/97,1997,1,5,Prospect,38,239,-121,,failure,limited height,
1/5/97,1997,1,5,River Junction,38,239,-121,,failure,standard,
1/5/97,1997,1,5,Pescadero,38,239,-121,,failure,standard,
1/7/97,1997,1,7,Tyler,38,239,-121,Hopf,repair,standard,
1/7/97,1997,1,7,Walthall,38,239,-121,,failure,standard,
1/7/97,1997,1,7,Wetherbee Lake,38,239,-121,,failure,standard,
1/7/97,1997,1,7,McMullin Ranch,38,239,-121,,failure,standard,
1/10/97,1997,1,10,Paradise Junction,38,239,-121,,failure,standard,
1/10/97,1997,1,10,Mossdale,38,239,-121,,failure,standard,
1/10/97,1997,1,10,Brannan-Andrus,38,239,-121,Hopf,failure,standard,
1/31/97,1997,1,31,McCormack-Williamson,38,239,-121,,failure,limited height,
1/31/97,1997,1,31,Glanville Tract,38,239,-121,,failure,standard,
,1997,,,Liberty,38,239,-121,John Hart,failure,,permanently flooded
1/1/98,1998,1,1,Sherman,38,239,-121,Hopf,failure,standard,
2/1/98,1998,2,1,Van Sickle,38,239,-121,,failure,standard,
2/1/98,1998,2,1,Webb,38,239,-121,Hopf,repair,standard,
02/00/04,2004,2,0,Tyler,38,239,-121,Hopf,repair,standard,
6/3/04,2004,6,3,Upper Jones Tract,38,239,-121,,failure,standard,
7/00/04,2004,7,0,Drexler,38,239,-121,Hopf,repair,standard,
2006,2006,,,Fay,38,239,-121,Hopf,uncertain,standard,
1/1/06,2006,1,1,Prospect,38,239,-121,,failure,limited height,
1/1/06,2006,1,1,Twitchell,38,239,-121,Hopf,repair,standard,
1/1/06,2006,1,1,Sherman,38,239,-121,Hopf,failure,standard,
1/15/06,2006,1,15,Tyler,38,239,-121,Hopf,repair,standard,
?/?/06,2006,,,Staten,38,239,-121,Hopf,repair,standard,
?/?/07,2007,,,Wright-Elmwood,38,239,-121,Hopf,repair,standard,
1/08?,2008,1,0,Brannan-Andrus,38,239,-121,Hopf,repair,standard,
1/24/09,2009,1,24,Medford,38,239,-121,Hopf,repair,standard,
8/27/09,2009,8,27,Bradford,38,239,-121,Hopf,repair,standard,
12/7/09,2009,12,7,Bradford,38,239,-121,,failure,standard,
